CROP_TYPE,SOIL_TYPE,REGION,TEMPERATURE,HUMIDITY,RAINFALL,WIND_SPEED,WEATHER_CONDITION,SOIL_MOISTURE,WATER_REQUIREMENT,WATER_NEEDED
Tomato,Sandy,East,30.980284918067397,54.82257904269167,0.5727577781376618,,Sunny,,4.08,1.0
Rice,Sandy,Central,27.170414192972892,60.41750805419521,42.52234632600608,20.755121864262485,Sunny,67.88,0.0,0.0
Cotton,Silty,North,31.886131228604157,56.03928408432286,16.095303239459987,8.563472432215619,Cloudy,24.9,0.0,
Tomato,Silty,West,37.13817913844815,66.6562707041918,20.31101548395062,9.052161316742499,Rainy,32.2,0.0,0.0
Tomato,Sandy,North,,82.95767797192869,11.851323330310272,9.6999188051318,Cloudy,72.03,0.41,0.0
Rice,Silty,South,26.595178258304916,53.43436764288193,2.058563802356225,,Sunny,,0.87,1.0
Sugarcane,Sandy,South,37.47527689304435,80.01230746652621,0.3152001986274977,9.998683993665784,Sunny,39.3,9.71,1.0
Banana,Sandy,North,32.604608374917454,53.274918914796686,19.99940083736843,9.333024055813663,Sunny,35.98,5.46,1.0
Maize,Loamy,North,25.183153684390287,52.28559181254674,5.04728670907756,16.54459154678093,Sunny,18.74,2.2,1.0
Wheat,Loamy,West,31.25536026151579,77.2789192751482,3.063415847672062,12.82798039875425,Sunny,33.98,0.52,1.0
Rice,Loamy,North,25.21949384312523,78.82904567011425,8.24789977907065,,Sunny,,0.48,0.0
Rice,Peaty,East,25.205621478578458,77.77114905143982,,13.703369571678623,Windy,46.74,0.48,0.0
Banana,Clay,Central,29.451773629396204,45.26303887672788,,12.620535015916696,Sunny,43.95,5.28,1.0
Sugarcane,Silty,West,16.520318532053214,58.01073532891924,6.612478826291767,,Cloudy,18.29,,
Banana,Loamy,North,17.650493004921803,77.34482888004982,11.947922100408967,13.960692131810806,Cloudy,20.09,0.0,0.0
Wheat,Clay,East,24.626274824554166,65.62312760845842,,9.212136993884801,Sunny,8.65,0.36,1.0
Sugarcane,Clay,North,21.923013277993455,48.89460730703804,2.1760518013941628,8.891632639374496,Windy,6.19,7.05,0.0
Rice,Silty,West,29.885483995571644,71.87476908688163,3.9963147771410954,8.755434412835328,Humid,46.48,1.51,1.0
Rice,Peaty,West,22.551855546872734,54.27789111512794,5.741481495401549,0.0,Sunny,39.78,0.8,0.0
Tomato,Sandy,South,26.040424878313818,91.91787272588319,124.53626656392049,7.366503335326993,Sunny,41.46248157700865,0.45,0.0
Maize,Loamy,South,36.79389261352932,88.17262193627388,4.546557938129284,13.565866210628005,Sunny,89.15,0.93,0.0
Wheat,Peaty,North,26.645342197080787,74.06146139533351,4.7981132721314665,9.887943785481186,Sunny,38.83,0.16,1.0
Tomato,Silty,Central,28.405169228127544,85.4151005715466,10.59793164678159,3.574067850721252,Sunny,72.05,,0.0
Tomato,Peaty,East,19.45151088271926,65.97187025185072,5.433483159708993,14.823156275960187,Sunny,,1.22,0.0
Rice,Clay,South,,76.48156241562523,30.205116755223585,8.506999202283023,Cloudy,26.0,0.0,0.0
Banana,Peaty,South,28.665535538259196,87.16580442953112,22.48748260660205,3.8921225466923843,Sunny,53.31,0.0,0.0
Rice,Loamy,Central,21.094038535466183,68.68248022691469,7.203308877918703,21.030062308355078,Cloudy,5.34,0.55,
Banana,Peaty,West,30.254188110074033,61.172192427285744,10.350045460488262,4.734137027561221,Sunny,6.48,15.83,
Banana,Peaty,North,24.39616786048717,39.43067062734326,0.5978244854526469,14.39745755642855,Rainy,17.09,39.55,1.0
Cotton,Clay,North,26.24983750124034,63.75299711417759,11.898415492688914,6.153429495726978,Windy,23.97,0.92,1.0
Cotton,Peaty,East,24.38976032662362,77.35134776843466,12.282684782827316,10.679134172869109,Windy,49.87,0.0,0.0
Tomato,Clay,Central,39.113669107053624,79.18450141351444,4.450367840450837,5.4890951831591215,Sunny,63.33,2.02,1.0
